scenario,year,price,deposits_usd_m,ceiling_usd_m,retained_usd_m,retained_pct,crosses_5b
low US$60,2026,60.0,3369.3,3163.9,205.4,6.1,False
low US$60,2027,60.0,3390.0,3181.5,208.5,6.2,False
low US$60,2028,60.0,4127.0,3763.5,363.5,8.8,False
low US$60,2029,60.0,4421.8,3910.9,510.9,11.6,False
low US$60,2030,60.0,5011.3,4201.1,810.2,16.2,True
base US$75,2026,75.0,3758.4,3494.6,263.8,7.0,False
base US$75,2027,75.0,4237.5,3818.8,418.8,9.9,False
base US$75,2028,75.0,5158.7,4215.9,942.8,18.3,True
base US$75,2029,75.0,5527.2,4252.7,1274.5,23.1,True
base US$75,2030,75.0,6264.2,4326.4,1937.7,30.9,True
high US$90,2026,90.0,4147.5,3773.8,373.8,9.0,False
high US$90,2027,90.0,5085.0,4208.5,876.5,17.2,True
high US$90,2028,90.0,6190.5,4319.0,1871.4,30.2,True
high US$90,2029,90.0,6632.6,4363.3,2269.4,34.2,True
high US$90,2030,90.0,7517.0,4451.7,3065.3,40.8,True
