quarter,year,market_value_gyd_m,market_value_usd_m,inflows_usd_m,withdrawals_usd_m,interest_income_usd_m,cash_and_equivalents_usd_m,other_receivables_usd_m,financial_assets_fair_value_usd_m,portfolio_return_pct,source_report
2020Q1,2020,11454,54.94,,0.0,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2020Q2,2020,19792,94.93,,0.0,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2020Q3,2020,30163,144.67,,0.0,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2020Q4,2020,41349,198.32,,0.0,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2021Q1,2021,55809,267.67,,0.0,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2021Q2,2021,71758,344.16,,0.0,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2021Q3,2021,90934,436.13,,0.0,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2021Q4,2021,126694,607.65,,0.0,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2022Q1,2022,150081,719.81,,0.0,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2022Q2,2022,157054,753.26,,200.0,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2022Q3,2022,219178,1051.21,,200.0,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2022Q4,2022,298041,1429.45,,207.65,,,,,,"BoG NRF Quarterly Dec-2023, Graph 6"
2023Q1,2023,305363,1464.57,219.45,200.0,15.66,,,,1.059,"BoG NRF Quarterly Dec-2023, Tables 1-6"
2023Q2,2023,359341,1723.46,438.95,200.0,19.94,,,,1.159,"BoG NRF Quarterly Dec-2023, Tables 1-6"
2023Q3,2023,391431,1877.37,379.71,250.0,24.2,1877.37,0.0,0.0,1.253,"BoG NRF Quarterly Dec-2023, Tables 1-6"
2023Q4,2023,442516,2122.38,570.11,352.13,27.04,1973.47,148.91,0.0,1.269,"BoG NRF Quarterly Dec-2023, Tables 1-6"
2024Q1,2024,491512,2357.37,,250.0,,,,,1.255,"BoG NRF Quarterly Dec-2025, Table 1 / Graph 6"
2024Q2,2024,598514,2870.57,,300.0,,,,,1.238,"BoG NRF Quarterly Dec-2025, Table 1 / Graph 6"
2024Q3,2024,665825,3193.41,,300.0,,,,,1.318,"BoG NRF Quarterly Dec-2025, Table 1 / Graph 6"
2024Q4,2024,676726,3245.69,751.08,736.0,37.2,,,,1.19,"BoG NRF Quarterly Dec-2025, Table 1 / Graph 6"
2025Q1,2025,696260,3339.38,459.58,400.0,34.11,,,,1.069,"BoG NRF Quarterly Dec-2025, Tables 1-7"
2025Q2,2025,665564,3192.15,617.96,800.0,34.82,,,,1.08,"BoG NRF Quarterly Dec-2025, Tables 1-7"
2025Q3,2025,749395,3594.22,564.53,200.0,37.53,3594.22,0.0,0.0,1.082,"BoG NRF Quarterly Dec-2025, Tables 1-7"
2025Q4,2025,716099,3434.53,867.65,1063.0,35.66,3250.41,184.11,0.0,0.972,"BoG NRF Quarterly Dec-2025, Tables 1-7"
2026Q1,2026,759667,3643.49,577.6,400.0,31.36,3643.49,0.0,0.0,0.877,"BoG NRF Quarterly Jun-2026, Tables 1-7"
2026Q2,2026,895349,4294.24,1235.23,620.0,35.52,4294.24,0.0,0.0,0.886,"BoG NRF Quarterly Jun-2026, Tables 1-7"
