date,amount_usd,quarter,year,cumulative_usd,source_report
2022-05-10,200000000.0,2022Q2,2022,200000000.0,"BoG NRF Quarterly Jun-2026, Table 7"
2022-07-12,200000000.0,2022Q3,2022,400000000.0,"BoG NRF Quarterly Jun-2026, Table 7"
2022-12-09,207646570.0,2022Q4,2022,607646570.0,"BoG NRF Quarterly Jun-2026, Table 7"
2023-02-06,200000000.0,2023Q1,2023,807646570.0,"BoG NRF Quarterly Jun-2026, Table 7"
2023-05-04,200000000.0,2023Q2,2023,1007646570.0,"BoG NRF Quarterly Jun-2026, Table 7"
2023-08-03,100000000.0,2023Q3,2023,1107646570.0,"BoG NRF Quarterly Jun-2026, Table 7"
2023-09-06,100000000.0,2023Q3,2023,1207646570.0,"BoG NRF Quarterly Jun-2026, Table 7"
2023-09-26,50000000.0,2023Q3,2023,1257646570.0,"BoG NRF Quarterly Jun-2026, Table 7"
2023-10-24,100000000.0,2023Q4,2023,1357646570.0,"BoG NRF Quarterly Jun-2026, Table 7"
2023-11-24,100000000.0,2023Q4,2023,1457646570.0,"BoG NRF Quarterly Jun-2026, Table 7"
2023-12-28,152130249.0,2023Q4,2023,1609776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2024-03-06,250000000.0,2024Q1,2024,1859776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2024-05-15,300000000.0,2024Q2,2024,2159776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2024-07-22,300000000.0,2024Q3,2024,2459776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2024-10-01,300000000.0,2024Q4,2024,2759776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2024-12-16,436000000.0,2024Q4,2024,3195776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2025-02-10,400000000.0,2025Q1,2025,3595776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2025-04-09,400000000.0,2025Q2,2025,3995776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2025-06-04,200000000.0,2025Q2,2025,4195776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2025-06-25,200000000.0,2025Q2,2025,4395776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2025-09-24,200000000.0,2025Q3,2025,4595776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2025-10-31,200000000.0,2025Q4,2025,4795776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2025-11-20,200000000.0,2025Q4,2025,4995776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2025-12-10,200000000.0,2025Q4,2025,5195776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2025-12-29,463000000.0,2025Q4,2025,5658776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2026-03-11,400000000.0,2026Q1,2026,6058776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2026-05-04,100000000.0,2026Q2,2026,6158776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2026-05-13,200000000.0,2026Q2,2026,6358776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2026-05-20,200000000.0,2026Q2,2026,6558776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
2026-06-29,120000000.0,2026Q2,2026,6678776819.0,"BoG NRF Quarterly Jun-2026, Table 7"
