cash_real_return,statutory_cash_p50_B,statutory_port_p50_B,norway_cash_p50_B,norway_port_p50_B,statutory_port_minus_cash_medianW_B,statutory_port_minus_cash_pathmedian_B,statutory_port_minus_cash_p10_B,statutory_port_minus_cash_p90_B,P(statutory_port>cash),norway_port_minus_cash_medianW_B,norway_port_minus_cash_pathmedian_B,norway_port_minus_cash_p10_B,norway_port_minus_cash_p90_B,P(norway_port>cash),statutory_withdrawals_identical,stat_spread_medofeach_rho00_B,stat_spread_pathmedian_rho00_B,stat_spread_medofeach_rho03_B,stat_spread_pathmedian_rho03_B,stat_spread_medofeach_rho05_B,stat_spread_pathmedian_rho05_B,stat_spread_medofeach_rho08_B,stat_spread_pathmedian_rho08_B,stat_spread_medofeach_rho10_B,stat_spread_pathmedian_rho10_B,stat_spread_medofeach_rho15_B,stat_spread_pathmedian_rho15_B,rho_star,rho_star_rule_only_cash
0.0,297.25428702187793,328.5035834568716,209.70597173317952,282.0192494285143,31.249296434993653,29.766647874025484,-3.531658764093738,103.97598403821371,0.863,72.31327769533476,71.27999709900631,-3.619869193771927,200.02746569762985,0.8855,True,30.74199885395967,29.766647874025484,31.059950956001614,29.766647874025484,31.249296434993653,29.766647874025484,31.291807042803555,29.766647874025512,32.42024450243025,29.766647874025512,36.57093015612941,29.76664787402539,0.04361061294122011,9.421251879758607e-06
0.0025,299.7618493072654,328.5035834568716,215.38456310555262,282.0192494285143,28.741734149606202,27.327935559458467,-6.0988713850625285,100.86955624689696,0.8385,66.63468632296167,65.60670356830684,-9.51128551950324,193.84718484303752,0.859,True,28.2498228073525,27.327935559458496,28.531796649777817,27.327935559458496,28.741734149606202,27.327935559458467,28.812285398651,27.327935559458496,29.80921266927112,27.327935559458496,34.08986548827011,27.327935559458496,0.04241905675696217,0.002508975131086118
0.005,302.45296279865505,328.5035834568716,221.32063788137458,282.0192494285143,26.05062065821653,24.792923590730286,-8.621626927420202,97.85531360723303,0.8071,60.698611547139706,59.72352267155864,-15.391653417355386,187.40837092900264,0.8324,True,25.62174891091783,24.792923590730325,25.843025606280207,24.7929235907303,26.05062065821653,24.792923590730286,26.22934661039659,24.792923590730286,27.148720444793753,24.792923590730286,31.626984756829188,24.792923590730346,0.041179003169681885,0.005010993825608238
0.0075,305.2574836946173,328.5035834568716,227.51996710732806,282.0192494285143,23.24609976225429,22.105665386485445,-11.5720679295046,95.22145001996518,0.7745,54.49928232118623,53.317660522893846,-21.738834356454,180.8397789625325,0.7995,True,22.836826248511272,22.105665386485445,23.03825056331931,22.105665386485445,23.24609976225429,22.105665386485445,23.394913786909513,22.105665386485473,24.300025764700763,22.105665386485473,28.87696952331339,22.105665386485352,0.03983191105940023,0.007511619742372205
0.01,308.2665919112503,328.5035834568716,234.02371768572846,282.0192494285143,20.236991545621265,19.341481387772276,-14.70471351254557,91.66751088673051,0.7425,47.99553174278583,46.85881902589524,-28.274494313748562,174.31347091767978,0.7637,True,19.885008377450305,19.341481387772262,20.060300089444496,19.341481387772262,20.236991545621265,19.341481387772276,20.389709330720677,19.341481387772276,21.39582120744967,19.341481387772276,25.851219758837942,19.341481387772216,0.0383956140169812,0.010011281281576884
0.0125,311.3955700129355,328.5035834568716,240.76841701138648,282.0192494285143,17.108013443936102,16.504027210358917,-17.961503186927416,87.87113537279906,0.7059,41.25083241712781,40.11459435685005,-35.23473545283315,167.40822156776272,0.7274,True,16.74129096256172,16.504027210358903,16.873891146226356,16.504027210358903,17.108013443936102,16.504027210358917,17.277988923687474,16.504027210358917,18.41874420172053,16.50402721035889,22.720498763136447,16.50402721035889,0.03675061052877027,0.012511915200093426
0.015,314.6461229341435,328.5035834568716,247.7921114202394,282.0192494285143,13.857460522728104,13.256486590779266,-21.492179115242358,84.0387108749774,0.6646,34.22713800827489,33.105102186583586,-42.285936727156056,160.15269577117175,0.6889,True,13.555111776751147,13.256486590779252,13.584566398632404,13.256486590779266,13.857460522728104,13.256486590779266,13.95028725327478,13.256486590779266,15.310649496815017,13.256486590779296,19.314562570787757,13.256486590779176,0.03495633349967647,0.015013358685237108
0.02,321.73323050926894,328.5035834568716,262.74701562144867,282.0192494285143,6.770352947602646,6.379503735537415,-29.189096012853568,75.66717624762865,0.5781,19.272233807065618,18.13118738138379,-57.72193017810597,145.0109426987045,0.6032,True,6.548630543591145,6.3795037355373685,6.604633947923304,6.3795037355373685,6.770352947602646,6.379503735537415,6.914232980343513,6.379503735537415,8.26023197435893,6.379503735537353,12.420958864997601,6.379503735537353,0.030913380432803027,0.020013827428692822
0.022,324.7772155296167,328.5035834568716,269.11541702064295,282.0192494285143,3.7263679272548984,3.5598030602782593,-32.74970734510143,72.53186237581421,0.5419,12.903832407871334,11.806119789122102,-64.37559899692471,138.09799193648195,0.5631,True,3.531706352408122,3.55980306027829,3.601204347729009,3.559803060278305,3.7263679272548984,3.5598030602782593,3.928290538898409,3.559803060278351,5.199520170377809,3.5598030602782593,9.331434761089895,3.55980306027832,0.029107152927399516,0.022011766640252978
0.0225,325.57826640823544,328.5035834568716,270.7322924460168,282.0192494285143,2.9253170486361455,2.8389297908424074,-33.66009233008934,71.63474997257066,0.5327,11.286956982497486,10.201465892068054,-66.10641258684385,136.48251683244757,0.5549,True,2.769531852722764,2.8389297908424074,2.848066074110932,2.8389297908424376,2.9253170486361455,2.8389297908424074,3.1650572132948014,2.8389297908424074,4.42626015261726,2.838929790842468,8.548022301049286,2.8389297908424074,0.02861431184740469,0.02251159740509137
